,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111
600519 CH Equity,-8.20532813980312,5.743694025836674,0.6791459325395551,-1.474240105526781,-1.9883318720149419,0.6742128288400215,-1.9084423978843168,3.2412579562793122,-0.3149613022472004,-1.9613962890553716,-2.5563554600479246,-0.2755072874707735,1.425763124690971,0.690652811351597,-2.790836204130838,0.10567302031667548,-0.03253048465299158,-0.1373972724449962,-1.0389808745928883,-1.2390249805653986,0.8498561734085447,0.6065307096525497,0.8845177082615918,-0.506312781778415,2.0192768137132777,-1.450766697133533,1.3118022027252512,-1.128094418035832,1.73641594932913,1.3663798783332544,0.21191959746609323,-0.6184077743484332,-0.09036642113060217,-0.2715590449053845,-0.6615010748446803,-0.5995739406393435,2.6897100715257642,-0.3945691902615378,1.7144380813801847,0.29285428104926103,-0.3555789294448464,-1.094353041346733,1.2889123675727674,-0.05791054737912316,0.03388131231527159,-1.3134629594663545,0.2436538449835627,0.4153579492128585,-0.4821626816661182,-0.12277769261749995,0.36485362391622145,-0.2357958023782752,-0.31258745804345534,1.0550885534832346,0.2992668386526694,-0.5473176171468064,0.23264524403993012,-0.04414358090682051,0.6462767071079077,-0.1901647817124442,-0.42546883749497144,0.23338081860167273,-0.5777702310840088,-0.24732489066678973,0.4102028680218563,-0.27538019045077716,-0.4309007957972421,0.14750090009696484,-0.38318102857069947,0.18637781276667673,-0.356134315349142,-0.1897509242428905,1.3056457779309534,-0.9562942112635352,-0.26122845129924827,-0.7434003632388688,-1.5049404308236995,-0.7946805392580337,0.44425549363314637,0.6313555841067463,-0.1318003632723468,-0.0032434128800218898,-0.3228336897609402,-0.10478411990458378,0.8837630275491092,0.6115350135010285,0.7157030398697013,-0.2686329855783071,0.30436900919630927,0.6119048352002137,-0.9536218980678032,0.09914583770786002,0.667569041261891,0.020328606371598466,-0.0643016486519256,-0.7308728469446241,-1.3240557526844734,0.39357512215581825,0.1486224299905834,-0.32587493823330727,-0.7233946049850858,-0.8986145147660091,0.8725584396990657,-1.2628466550174322,-0.29996758870906415,0.36408000737927926,-0.5386711583106291,0.6583549017293835,0.5464222787262277,0.5920531555285141,0.7287656913015876
600030 CH Equity,-4.186940190100826,3.380963613479964,0.4227832231563355,-0.8259113708635843,-2.236561188986608,0.583695187103692,-0.6411625102366153,1.9208256599077485,-0.674600456865835,-1.3692838417057436,-1.506833564004604,0.6323696847656571,-0.3435218410520965,0.7973341806369458,-1.5734326774755427,-0.6170780650071352,0.03874282283578514,-0.1501176264077513,-1.583878515631933,-0.8869283739988921,0.3036862569572995,0.09293837861753129,-0.23109039379988974,-0.39289400280200387,0.3418913160268228,-0.6389010344709851,0.30582057920390565,-1.0388800602407577,0.7757467320773472,0.5296458387981118,-0.012904594563697937,-2.865266853729132,-0.011109960797140493,0.2543933530013083,-0.14961105565441074,-0.5840489370448767,0.16459663139616693,-0.3558848703727768,1.0014018839030312,-0.5135019256608068,-0.9656103856924678,-0.7569298423623513,-0.7438921845899059,0.3414972410752028,-0.579583774403649,-1.1920369543892297,0.43183611121559085,0.8472302599795677,-1.1933084610158933,-0.3209619031082683,0.23355955080617585,1.032386612641545,0.5028035503361159,0.990282028542508,0.009416901659990111,-0.1267394464637477,0.24456446413708127,-0.04681316404966045,0.2679177960208886,0.14043565595895563,-0.8646856181712923,-1.0068630896071806,-0.362634318081566,0.17610424965939522,-0.13067661978212436,-0.44808414863478135,0.21579313733334052,-0.4872296579120168,0.18042048484011206,-0.030669160370661593,0.09139841882399793,-0.4379294649225013,0.2215489027149105,-1.0436365899420625,-0.30725850676401806,0.4438393440904622,-2.0852415402876314,-0.6410710158728865,0.6258951773604324,-0.1540091932716828,0.5721827078675746,0.04178626277635744,1.226461134890937,0.3560095733315475,-0.139036808787941,0.9163993913790329,-0.8357217863399288,-0.4368029585941806,1.6532717606609448,-0.6400328837102386,-0.47703109419415773,0.7815800057991835,-0.19778731383146178,-0.13551735896815298,-0.1970748025128392,0.6110633641459801,1.0469884786570278,-0.23693590997109545,-0.16196883024611178,0.5005809246366868,-1.1154862059007542,-0.6239357203065524,0.011094362781137429,-0.6771087013073582,-0.6138659952472583,0.033103900490316245,0.08018019548298926,1.0120198452801856,0.911658208891348,-1.8906352657584173,-1.3387915779595005
601211 CH Equity,-5.859643680890123,4.92604946787983,-0.017733914364277088,-3.5053105188149303,-0.8475616114337354,0.1696759150681851,-0.7550451031132861,1.5796972491426984,-1.544113332327481,-0.930315413762074,-2.1742595406746528,-0.03864869527312549,1.5730720341454378,0.8744334912361843,-0.9990081061480606,-0.7007903174005756,-0.7881104979671556,-0.13873326005996142,-1.6561000836265034,-0.053745751751048704,-0.02709063994471849,0.18877489489314397,-0.07557812197487704,-0.6872242572475463,-0.9559491778813213,0.1606416827541995,1.3020369007816044,-0.17889132445860503,-0.6088314535002753,0.2309627112197454,-0.516356250908117,-2.976025251538079,0.5652421371228313,-0.6190875368264869,-0.4817076930890535,-0.20988384026312196,0.26930780497907847,0.40944811556534794,0.6418869871553752,-0.5018221555650122,-0.7212305291710608,0.11210736316167867,-0.382033470140276,0.10228562055614306,0.24197384404550085,-0.9614168093047941,0.5386809986900475,0.41910462791962466,-1.1394522649148613,-0.7422233294506971,0.7244612919196836,-0.19061299778508387,1.9880901274722385,0.8000542026034239,0.603423304552408,0.1747102890233539,0.06242299589766617,-1.3353609195874925,-0.3695130682363201,-0.2699916169885586,-1.201265139004607,-1.0964441793011046,-0.5983925120045749,-0.3297793781739325,-1.2510140300005685,-0.9048420719341688,1.142704021031106,-0.372889328359144,1.7423410654389455,0.013979080954443458,-0.6562272776844854,-0.31314066116448436,-1.6607696790750544,0.11784141418768893,0.6506762994573646,1.4217946009448734,-1.1766979611579638,-0.9197238764047413,0.7968960487989459,-0.7267368476875145,-0.18517287488577672,-0.8359577726868519,1.4838740214872341,0.10574660118359917,-1.0995396101465253,0.9782485302033631,-1.4595425661380863,-1.4028837243415946,1.4334836919649547,-0.3383712011299598,0.21564203419714337,-0.29541012188038096,-0.5528397362761511,1.6779492896439974,-1.5878536993443748,1.6524176414427538,2.0934805278405433,-0.4767912259969896,-1.2848639642453288,-0.014144451383314757,-0.3777347867662602,0.6696083367715301,-1.1344164481859944,0.6942125559968496,0.298603172691946,-0.6494706703934415,-0.33459913016624565,1.1260214955814758,1.6630437502141566,-2.5809882825483377,-2.392222760924996
000333 CH Equity,-7.815741073863936,9.031939975512959,-0.012480970020141419,-3.693698410173823,-0.48169707643754106,-0.8276609255185813,-1.9387055948902077,3.659681160963046,-1.048482375956773,-1.611169121399393,-2.1960842032197894,-2.0348552417233985,3.2742299770948624,0.9813694427675107,-1.3068445543362726,0.4577657411615024,0.46331533287158466,-0.8863843922240521,-0.8047868872361194,-0.4678301324594966,-0.11721180543495147,0.6191309655872362,0.9931213517577604,-0.014622679563427669,-0.4704552366639118,-1.4581266148667227,-0.11579725199554158,0.7159420773880647,1.7001321017513593,-0.9412982202935639,0.9036158758780117,-1.2420003615490167,-0.8552110172454715,-0.8646476184105016,-0.5054856561883979,-0.49592238050525933,1.6261204481441514,0.8638598907536504,0.5174633138436532,0.6588478880739257,0.5483295790742206,0.5875527981322937,0.5870174454914879,-1.8531249025857155,-0.42969054400790174,-2.7707619018513214,1.5314513730374748,0.6589884762784205,2.408480964584289,1.0834872713240518,0.1301438040949617,-0.2893250672927834,-1.2725002319614707,1.1723103740894047,0.22626915384850146,0.26816777123519764,-1.4511666517164141,-2.2482356414347535,0.24923580597371212,-0.1400064202671143,-0.4744822973701322,0.9109526395042015,0.21715354695046932,1.0017533619111911,-0.1180923289015564,0.16279978585895838,-0.915286629620224,0.11446060324906909,-0.7058324720308745,1.464782758902707,0.17778163387582754,0.2643841050226232,-0.5332487044492498,1.8726630890918714,0.8602602802395569,-0.5922291506208616,0.3652606743456854,1.8070348956967028,-0.9984396921910494,-0.49795686933533717,0.1281730063140754,0.5245467567724215,0.10210289440677797,0.6982054749543566,1.1534533727673462,-0.2748364740579513,0.42907442663186923,-0.7831141548345906,0.043888556729569685,1.0188036371741884,-0.9557275061310341,-0.016445548205455164,-0.9944961170912889,-0.5236677565547178,0.2175171583249425,0.03415908054010966,-1.2031550934539124,-0.6418279816887561,-0.45459140273441767,0.5695543606686407,-0.5960002567450989,1.3561074778568287,-0.6912314337415998,1.2793095228078768,-0.9167605730152907,-0.5609990000319542,1.0279539897967835,1.165342325254774,-1.1206654346750642,-0.8396251132669502,2.3245200912949353
000651 CH Equity,-8.153402143113166,8.267995267723013,-0.5997755844106769,-3.939279954032728,-0.894442160025392,-0.36873054191661836,-1.3026252014462876,2.970049002400782,-1.0914792201429988,-1.9395898656015103,-2.746384370939538,-1.830869892042861,3.043892004013298,0.8694410824194295,-1.364645412224124,-0.6643254232493583,0.7924122833448797,-0.9248115949246973,-1.0036650615717506,0.24036519199606146,-1.2949354733296703,1.060259812104106,0.4755497533636288,0.054629147577671004,0.0008510555684213249,-1.7521078245067325,0.4035900953328927,0.39826184199941134,0.6939491039641301,-0.23500008827412577,1.542297399014463,-1.479291810892153,-1.2519422588785365,-0.6809487673522859,-0.26191740864828217,-0.37525339353845777,0.7744968659827833,0.4329893752293955,0.3462076604873769,1.033044641942932,-0.07051547450313445,0.4445831732020708,0.863712560319165,-1.273589999679721,-0.3469136131127149,-2.7984990788007584,0.8885006061997358,0.8128767834646904,0.9772697190020659,0.6203359968778661,0.4563133094103979,-0.7552036447961364,-0.9969206965083801,1.6276820042561,-0.12567088134570792,-0.7083918982320755,-0.889172975630858,-1.546635933304854,0.9979911311105191,0.21334203316844544,-0.6662847284566301,0.2225390275151534,0.5979572837012356,0.2783720391572962,-0.3574656895222025,0.5684811856391898,-1.712479236047374,-0.13225321419785324,-0.23399125031925552,0.6450604217128848,0.49164367093376826,0.4284102763365091,-0.18861487705314103,0.8494532177141028,0.41532996478532996,0.3806935911965193,-0.04340657448362118,0.9644082286861089,-1.185211830642141,-0.6588251601082937,0.986745853511149,0.019541695897445758,-0.3177446234796508,0.8837578123004795,0.31443167434359687,0.2219683278314782,1.0484267702334606,-0.29948206658663157,0.49392474019692095,1.3153718534752286,-0.4403990905107402,-0.5502120739264852,-0.8412602708200576,-0.5682711020183612,0.5172316541921064,-0.2671060102887648,-1.5351123943999776,-0.3201491866663918,-0.7249399547366886,1.2673385170385845,-0.3490745735828444,1.3732236692463753,-0.42603459946391764,1.2218250771750896,-0.7447994254565994,-1.0423014667907224,0.9268862844345506,1.3787865632035319,-0.9181089113916133,-0.36456846039803487,1.9928430210758044
601766 CH Equity,-7.593036981248508,7.573981601462885,-1.3819479362733393,-4.818498264068615,0.06541354337723863,-0.9130846265462433,-0.8570710588437865,1.8917905201674274,-1.9092349330104987,-1.6886264973226053,-3.306114074750037,-1.4727838518111478,1.6658156940057727,0.2019098172251173,0.5906173766384492,-0.41695174635477633,0.10772640309382907,-1.8248080640675772,-0.9650980618731334,-0.08729875027699126,-0.09618105411964292,-0.9123981855676092,2.0803751042854524,0.7609006770358631,-0.028324676974655325,0.02066183737571797,0.6117862750692119,0.14162866512561945,-0.9070817758830445,-0.10199692245874192,1.2656527868339305,-0.3090358676521725,-0.910170865342264,-1.3954338503308168,-0.18311693368498874,0.30318659167869055,-1.3889070407268003,1.281506928670672,-0.007962171174718119,-0.10424896334301606,0.9486976083748413,0.7685718127248136,-0.040220552914226104,1.6505676013137145,0.3577937178123582,0.01078094283189056,-0.702396770231565,-0.7036389916444007,-1.061100081307343,-1.5751112927978543,0.4371688138041819,-0.004981069277257934,-0.8835644534797341,1.0497284317550424,1.324109367458693,-0.41351542884613385,0.49466486429144596,-1.4471731091643472,0.483453791602378,-1.2570252408219542,-0.261370293220987,-0.8492847461281998,-0.9704512949705503,0.6304363428518734,-1.3271668348024104,1.4236030079703146,-1.0191534229739214,0.922058986003681,-1.2211089151292551,-0.6871499175921807,0.4342065659496321,-0.41584000543139976,-0.3884309157111213,0.32089341713488423,0.5842191268702773,2.3061872159237846,-0.5254351872960996,0.2886875986125176,-0.07693031611207926,-0.7777712145649031,-0.9723677067436275,0.5293244956951364,-0.32284489805131605,0.5333119603467202,-0.6240394185861099,-1.2992484895375962,0.8922308012650499,-0.4249553185998181,-0.5914989411324151,0.5514809432125775,0.036046161484154335,0.13643430202476414,0.890871725174804,0.3779702482791952,0.23622258406187413,0.6830865679967603,-0.22983626830097317,0.2336961385162383,-0.48574427559055156,0.1554276541128204,-0.8963231400447791,-0.14615377006297056,1.637731193697189,0.04621433189073471,0.8301264864732184,-0.8663707762467824,1.0948205973028788,-2.330621777801792,-1.2951593993532722,1.4280722483850543,0.569337794120094
600150 CH Equity,-5.887025990182861,5.511190440139043,-2.205712793775574,-4.010997083891454,0.24733516213735343,-0.5291973257209055,0.65846694393669,0.9476662544470011,-2.674142806681708,0.09590581110089706,-1.9585828572982116,-2.1459849367952892,0.9405569992546784,-0.6535564678383087,0.5450601837056369,-0.5826626110134373,0.5225144875359309,1.2020032129545675,-0.08377790475695554,-1.315226515275381,-0.39127817489408256,-0.745242065521957,2.5690593705181444,1.4191690979417129,-0.11316776378822209,-1.3676678947172656,-1.3068982661925768,0.1865489892173291,-1.0292727231788554,0.8115240679200613,1.2866224940835336,-0.1537224737549046,-0.8151626363982842,-1.3634985372947055,0.14278878191886812,0.2851832427306828,-1.5356140373596114,1.651171440182782,-1.1431454973855104,-0.1252121235003036,1.9798947277984045,1.5098054600741793,0.652056147315093,2.5047274930379926,0.7349373050280583,1.8601251181963687,-0.22135768135287218,-2.5984587954901817,-1.1589081451607242,-2.292691564679968,1.855654901002398,0.6162091070342351,0.310159550948919,-0.4263049949097401,-0.3578627467652887,-0.6238873552295534,-0.9105428048892218,-1.8489996967798816,-0.05781130668588209,-0.13878450286692984,0.11687545932928858,0.7009395912077983,-0.4629600775584836,-0.9176670100548454,-2.1984189591976038,1.928937554482721,-0.491143229645913,-0.4699546560922222,-0.8313090264507771,-1.1639952361996753,-1.2319234767319112,-0.6737307869459601,0.9661798625711867,2.0434175615079773,1.154789519307776,2.442992551337845,-0.6914680761498305,-1.2915978532082921,0.17466394483912145,1.3334749043390823,0.16095727459670395,-2.1608075535303373,1.597071840409548,-0.5429778172736649,1.1313457159268265,-0.03618321697775998,1.2590765822949064,-0.1662815869218876,-1.1560641098625366,0.9390211996621664,-0.808536400036266,1.3119383743017468,2.9042280185249925,0.3253316623706695,1.1041444254016373,0.6191860611944475,-0.6030834675670597,-0.22738477149097389,1.740895381222402,-1.1751000389978459,-0.34367270293285473,-2.0646408325419685,3.08909022920093,-0.3100208294397245,-2.031330455759286,-0.40269333938653196,0.4906383137211645,-1.131008187109149,-0.4317342494700272,-0.7307456970274947,-0.4482602336314921
000002 CH Equity,-7.577323191625942,1.7788170895240494,0.5032619899122082,-0.7867287018117588,-1.020899645783743,0.9107039637122282,-1.8913619818489966,0.1655540848529466,-0.6639000442272882,-1.6804564456133333,-1.3532612540948021,-0.3195425506029312,-0.35576841551897154,2.9564559952965404,0.5717924439006492,0.8115269177328727,-0.24092042275281134,-0.8042766263387885,-0.6950703357353984,-1.4314250544573992,2.905390440110535,0.5561941346272073,-1.3905945031602407,-1.2804513890743676,2.098361194452005,-1.2849834192924086,-0.18173115345651195,-1.0635149642677113,3.1654777855748844,-0.3180230007425797,-0.40160968777402134,-4.723776233967086,1.5428887885120166,-1.200976866192292,-1.0331872285868375,1.516160741879715,3.933406182851477,-1.5105538732346004,2.3741271803866186,2.2491539013261934,-0.0353115060948073,-2.821772556415307,-2.670983000579968,2.5160647297339476,-0.46097163374257044,-2.2869418904304037,1.9465506888403181,3.3971959341991296,-0.4270941501079416,1.6529871850484754,0.7494103273424195,-1.0245301003375262,1.7075715178035236,0.18034155728784163,1.8126938149782752,-1.3134324361355942,2.9272461311940225,1.6734047351872436,-0.22908565528221317,1.5139276192360371,-0.44436077200355667,1.9048233084946387,1.63671916860158,0.42418097088173007,-0.508098435056916,1.9498988551720933,-0.40719486519329134,-3.247496116047717,0.20754699652998665,-1.9745473599997958,1.2501316871335562,-0.8878610450856476,1.019566754741852,-2.1065366294601957,-3.3387417060462576,-0.37022448534915126,-3.1245510581101787,-1.3245467561269266,-0.0005386322587322988,-0.9785063614667154,-0.3591789192109352,0.24228276770819746,-1.5497803539042008,-1.6560803041357923,-0.24281409411281799,1.0347603089800843,1.9715457354316186,-0.9152970515069214,-2.4502535320692043,1.515286639311482,0.23272980675001081,-0.892880396525323,-0.7144844544742314,-1.3715101757106287,-2.659032710890786,0.16691693794844206,2.7632853689487744,0.09167894341148573,2.387467652951777,3.7948371207249405,-0.13386768766754897,-1.9170040449549273,-0.07567523601988381,2.0256870050557407,1.855540247788819,-0.5703865767674156,0.14474137490073707,-0.38735777160068563,0.7206735884608566,-0.7239726294784492,-1.4521636099940873
600895 CH Equity,-0.061917091543303535,-1.943020874206717,-1.2304714726036141,-2.5789610026198244,-5.970680278800871,-1.2896269891419168,2.7373836754222345,-4.018163988500564,0.6541600575882807,-0.5487942959322757,-1.554100029239644,-3.020197985704787,-0.4136753438473919,4.303301520224348,2.9497556222719856,1.0239970905233489,-2.4203942191552312,0.04313709742442149,2.617568760428636,-0.723618172977894,0.300805739640519,-0.3610628033398257,-2.1740073614063227,-1.4241928958602004,-1.5451278493334801,0.604766999649744,0.7771931421367664,2.570179402893969,-0.3425141887078544,-2.123240764434661,-1.5989287110601438,-2.583369866336355,-0.4564755727822673,-2.3409290455922225,1.7392220569869845,0.5796949003660155,-0.8829548535964343,0.9294155578780307,-1.9785710049476997,2.666168934122755,-3.6300544159350308,-0.6466837192368721,-1.189290736097346,3.700037859629212,-0.9895999622276593,-0.28622176586800835,4.604764163839936,-0.48570409940671977,-0.11084722072603323,0.4076397767565121,-0.28335942892298355,-0.10266975293630297,5.367514402678484,-1.565935915935067,-2.1477773241701024,-0.25538539833987056,0.5670475718235704,-0.36801694288068565,-1.1870458439905203,0.5573817370446582,0.4476666509772129,-1.1290514529335836,-2.5035337483662636,0.14646123504267292,1.8548870844660221,2.4542462585446563,-1.1976545874731206,-0.7107351118053324,-0.21295331419921876,-0.6519108439782312,0.26411580434372445,1.2935176236586432,1.8715096850383606,-0.705606767388081,1.0099873220276108,-0.24953866772379824,0.4495915368108496,-1.753082015430428,-3.294143098964674,-0.4786206351306088,-1.1829891316245618,1.329958711292181,0.5653140610047833,0.052448560473953236,0.4306055180540527,-1.3517536053943173,-1.9264197814427118,0.9380411483444441,-0.04950489513050881,-2.3244793942037667,0.5566067999634804,-1.7284126964030884,-0.2047298711566313,-1.2845873488842428,-0.09198513162794986,0.2731587254696626,-0.512609747606719,-2.091865118775094,4.249672542402097,0.41783695451815017,-0.3215731766727641,1.5027272426154135,-1.4138214370531184,-0.18068583375013614,-2.178854219343853,-0.207569669182875,-3.1406464332237554,-0.6500149684970257,0.8437604762122846,0.21581776455054924,2.003627617889563
601899 CH Equity,-6.608329729703219,10.173745973153672,-0.663528847437004,-4.807365755394484,-0.4620195632263128,-4.862595032519252,-2.6834192727716473,-4.791678864011194,-1.6912378765104636,0.23037133980949406,4.975201864273096,0.8000281769546551,0.0027026378225042244,-2.2931097055074394,-1.355957723654696,-0.9627347873211147,2.2811172514169247,-0.8922548424960728,2.6910293761973336,-1.1892528723016949,-1.1027231694676023,-0.45997332452808537,1.9313106973272762,2.022918169130329,-1.5757230011483017,-1.9267998663289934,0.07460262925067514,1.0752672481424115,2.1271157668706415,-1.328768099976521,-0.279825313970905,-0.6147744227639366,1.1276825320764818,0.8509376458061783,0.5065630456020157,1.4450546406050158,-1.1888270787500073,-1.0291394094419017,0.7082650262717951,1.7582457815072365,1.2490225666112487,0.37559215730534556,1.2950118336784913,-1.0302870416131236,-0.3195278567974755,-1.1120839981464246,0.5279945616217454,-0.3479911333050023,1.123430476125245,-0.38604043464370713,-0.3337195145966133,-1.1479854046397135,-0.06879438118333647,0.6890171423251863,0.6975375911184412,-0.01680249967850235,-0.11938131586955876,-0.06931095552770627,-0.7318698304159083,-0.6808638802761123,-0.7405317051836074,0.6924515218811628,0.3091755987225844,-0.6834816421465748,0.5993945030472949,0.1384311413180894,0.027275945777633856,1.0622147299418332,-0.0510167750807247,0.5917828207261444,-0.8345541897798349,1.184412273664338,-0.7049339858101552,0.0880387189032315,-0.10079094592201046,-0.7044311610259948,0.10195203187626425,1.8891942884963837,-1.4645187619466957,-0.23240880953623835,0.7224758722685933,-0.5127521880642062,0.36258530001910333,1.159257366110125,-0.6188091863686267,0.135495200452609,0.9924575898759198,-0.24697154951163797,-0.5464318501949801,-1.4642744619503787,1.6248166576116236,-2.23490698010237,-0.032761683510516906,0.4946106051181653,0.17375233762658324,-0.6031641793613914,0.8151975576109932,1.5640022485032787,0.12444727001654846,0.06627088394223493,-0.8158523136669538,-1.0764835097659866,-1.204300822288641,0.17649638610718818,-0.2819437778424858,0.5429430097785358,-1.1825471718161213,0.6236754595058828,1.7843835627886258,-0.25513134695669454,0.031137767581518747
